Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value
DMND,Diamond Foods,Consumer Defensive,Packaged Foods,1318.9059,1948.4749,32.7188,14.3852,1.5240,4.2742
DMRC,Digimarc,Technology,Information Technology Services,262.9016,219.9146,None,-20.7467,11.5510,4.7055
DOC,Physicians Realty Trust,Real Estate,REIT - Healthcare Facilities,1384.2151,1992.7781,17.1361,22.9689,10.8809,1.7062
DOOR,Masonite International,Basic Materials,Building Materials,1896.8255,2321.7605,45.6642,11.9215,1.0265,2.9814
DORM,Dorman Products,Consumer Cyclical,Auto Parts,1660.9327,1581.6117,17.8248,9.6007,2.1015,3.1573
DPLO,Diplomat Pharmacy,Healthcare,Drug Manufacturers - Specialty & Generic,2267.8667,2396.2947,48.2740,25.3292,0.6746,4.5524
DRH,Diamondrock Hospitality,Real Estate,REIT - Hotel & Motel,2161.9892,3156.2102,10.6108,11.7921,2.3163,1.1861
DRII,Diamond Resorts Intl,Consumer Cyclical,Resorts & Casinos,1891.8437,2592.2117,15.9456,7.2408,2.0299,6.1695
DRNA,Dicerna Pharmaceuticals,Healthcare,Biotechnology,217.0513,123.0123,None,None,212.7954,2.0814
DRRX,Durect,Healthcare,Drug Manufacturers - Specialty & Generic,271.1817,258.6377,None,None,14.2502,15.7545
DSPG,DSP,Technology,Semiconductors,222.0500,191.8560,68.4000,200.8963,1.4754,1.5354
DTLK,Datalink,Technology,Data Storage,165.5720,140.1330,25.4286,None,0.2195,0.9974
DTSI,DTS,Technology,Software - Application,437.7948,367.2338,40.9032,11.1036,3.3145,2.0382
DV,DeVry Education Group,Consumer Defensive,Education & Training Services,1467.5651,1031.3661,9.5313,3.4796,0.8008,0.9509
DVAX,Dynavax Technologies,Healthcare,Biotechnology,961.7853,741.0883,None,-6.9261,201.4210,4.5542
DW,Drew Industries,Consumer Cyclical,Recreational Vehicles,1421.5280,1506.1050,18.7484,None,1.0120,3.4038
DWA,Dreamworks Animation SKG,Consumer Cyclical,Media - Diversified,2125.5064,2476.5794,None,17.8685,2.4420,1.9715
DWRE,Demandware,Technology,Software - Application,1926.8750,1743.5220,None,116.9521,8.2334,6.9776
DX,Dynex Capital,Real Estate,REIT - Residential,328.9393,689.5423,7.3784,None,4.2886,0.7867
DXLG,Destination XL Group,Consumer Cyclical,Apparel Stores,240.1861,298.3101,None,12.8479,0.5410,2.5875
DXPE,DXP Enterprises,Industrials,Industrial Distribution,448.6604,821.3174,18.0638,9.5148,0.3563,2.2438
DY,Dycom Industries,Industrials,Engineering & Construction,2771.2594,3275.5614,25.4759,9.7705,1.1410,5.4638
DYAX,Dyax,Healthcare,Biotechnology,5059.7319,4751.3469,None,None,51.3246,16.0898
DYN,Dynegy,Utilities,Utilities - Independent Power Producers,1975.8784,8650.8784,23.7536,9.7310,0.4879,0.7102
EBF,Ennis,Industrials,Business Equipment,509.2510,553.4000,None,None,None,1.7365
EBIX,Ebix,Technology,Software - Application,1266.9416,1419.8406,16.8251,14.6350,4.8333,3.1661
EBS,Emergent BioSolutions,Healthcare,Biotechnology,1455.3074,1399.5894,24.7483,27.9918,2.7853,2.4042
EBSB,Meridian Bancorp,Financial Services,Savings & Cooperative Banks,805.5380,752.5150,34.8333,None,7.4210,1.3815
EBTC,Enterprise Bancorp,Financial Services,Savings & Cooperative Banks,251.2518,234.4558,None,None,None,1.4219
ECHO,Echo Global Logistics,Industrials,Integrated Shipping & Logistics,733.6917,885.9044,30.0127,13.3988,0.4800,1.8836
ECOL,US Ecology,Industrials,Waste Management,799.4243,1149.9893,21.1379,8.9526,1.4671,3.1697
ECOM,ChannelAdvisor,Technology,Software - Application,334.7332,275.7492,None,-86.3065,3.4273,4.0908
ECPG,Encore Capital Group,Financial Services,Asset Management,844.6504,3779.2604,6.4517,3.8242,0.7321,1.3582
ECR,Eclipse Resources,Energy,Oil & Gas E&P,541.0985,852.0315,None,8.3771,2.1150,0.3776
ECYT,Endocyte,Healthcare,Biotechnology,199.3836,27.2563,None,None,6646.1208,1.1116
EDE,Empire District Electric,Utilities,Utilities - Regulated Electric,997.9103,1871.9573,16.3569,8.8383,1.4853,1.2436
EDR,Education Realty Trust,Real Estate,REIT - Residential,1785.2207,2668.3117,20.1167,23.7336,7.5420,1.8755
EE,El Paso Electric,Utilities,Utilities - Regulated Electric,1565.3218,2805.6998,19.5309,11.2679,2.4846,1.5334
EEFT,Euronet Worldwide,Industrials,Business Services,4134.1155,4068.4425,25.4156,14.1832,2.2877,5.1930
EFII,Electronics for Imaging,Technology,Computer Systems,2337.4813,2119.8193,65.3333,16.4327,2.6715,2.8389
EFSC,Enterprise Financial,Financial Services,Banks - Regional - US,581.0791,779.7251,15.8001,None,4.1778,1.6913
EGBN,Eagle Bancorp,Financial Services,Banks - Regional - US,1763.7109,1603.6319,21.3360,None,6.8572,2.4696
EGHT,8x8,Communication Services,Telecom Services,1033.0344,883.8874,1157.0000,47.2288,5.0324,3.8588
EGL,Engility Holdings,Industrials,Staffing & Outsourcing Services,1222.8948,2307.6598,15.2706,11.0784,0.5842,1.3136
EGLE,Eagle Bulk Shipping,Industrials,Shipping & Ports,101.6974,303.5783,None,2.2899,0.4176,0.1703
EGOV,NIC,Technology,Software - Application,1311.7218,1189.2788,31.5648,15.4482,4.4845,9.2220
EGP,EastGroup Properties,Real Estate,REIT - Industrial,1856.3864,2839.2684,15.5852,18.6835,7.9544,3.3298
EGRX,Eagle Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic,1279.7667,1183.7877,110.9324,237.2320,17.6094,14.6044
EHTH,eHealth,Financial Services,Insurance Brokers,217.7724,155.7564,76.7071,14.4621,1.2041,2.5097
EIG,Employers Holdings,Financial Services,Insurance - Specialty,861.6258,879.1258,13.9171,20.2844,1.1397,1.1868
EIGI,Endurance Intl Gr Hldgs,Technology,Software - Application,1931.6972,2996.5352,13.3019,11.1598,2.5705,10.8511
ELGX,Endologix,Healthcare,Medical Instruments & Supplies,654.1687,658.9257,None,-17.8088,4.2266,6.6005
ELLI,Ellie Mae,Technology,Software - Application,1885.6451,1775.2951,92.9853,27.0311,7.5293,6.4229
ELNK,EarthLink Holdings,Communication Services,Telecom Services,951.3145,1387.5915,None,5.7491,0.8710,25.6239
ELRC,Electro Rent,Industrials,Rental & Leasing Services,246.8264,238.0774,None,None,None,1.0847
ELY,Callaway Golf,Consumer Cyclical,Leisure,888.4402,873.5492,68.9463,19.9897,1.0596,2.1350
EMCI,EMC Insurance,Financial Services,Insurance - Property & Casualty,547.0799,538.7119,12.7391,None,None,1.0522
EME,EMCOR Group,Industrials,Engineering & Construction,3097.3111,2977.5201,18.3569,8.3359,0.4645,2.0508
EMKR,Emcore,Technology,Semiconductors,184.8270,70.6980,144.6000,7.4435,1.9829,1.3845
ENOC,EnerNOC,Industrials,Business Services,132.1045,132.3395,None,-3.5766,0.3337,0.5509
ENPH,Enphase Energy,Technology,Semiconductor Equipment & Materials,77.5199,72.0289,None,-9.3602,0.2165,1.4636
ENS,EnerSys,Technology,Electronic Components,2647.7953,3000.3373,15.0606,9.1894,1.1576,2.6234
ENSG,Ensign Group,Healthcare,Long-Term Care Facilities,1194.9028,1218.7568,18.2846,9.0332,0.9049,2.8961
ENT,Global Eagle,Consumer Cyclical,Media - Diversified,829.9617,684.1757,None,13.7855,1.9669,2.3568
ENTA,Enanta Pharmaceuticals,Healthcare,Biotechnology,587.9939,433.7079,15.5799,3.7714,5.1813,2.5757
ENTG,Entegris,Technology,Semiconductor Equipment & Materials,1854.0049,2217.8959,16.3851,6.8454,1.7298,2.4074
ENTL,Entellus Medical,Healthcare,Medical Instruments & Supplies,307.1887,253.2587,None,None,5.0500,4.9883
ENV,Envestnet,Industrials,Business Services,1129.5244,1070.4514,42.7717,15.1378,2.7105,4.5623
ENVA,Enova International,Financial Services,Credit Services,243.2100,703.5900,5.2270,4.6173,0.3753,1.2205
EPAM,EPAM Systems,Technology,Information Technology Services,3868.7858,3669.3428,42.8516,21.2901,4.2755,6.7534
EPAY,Bottomline Technologies,Technology,Software - Application,1184.8622,1219.1922,37.8138,16.0315,3.3162,3.6401
EPIQ,Epiq Systems,Technology,Information Technology Services,487.6690,874.0140,None,8.2927,0.9243,1.6236
EPM,Evolution Petroleum,Energy,Oil & Gas E&P,192.4281,176.1112,21.4182,10.8778,5.6906,3.6960
EPR,EPR Properties,Real Estate,REIT - Retail,3369.5563,5392.9133,12.7076,15.8368,9.8145,1.6945
EPZM,Epizyme,Healthcare,Biotechnology,634.7242,404.7862,None,None,239.4282,3.3485
EQY,Equity One,Real Estate,REIT - Retail,3502.7694,4968.5174,20.5703,21.1838,9.6986,2.2247
ERA,Era Group,Industrials,Airports & Air Services,229.9909,483.7249,24.1290,7.1769,0.8248,0.4848
ERI,Eldorado Resorts,Consumer Cyclical,Resorts & Casinos,409.6423,1151.5483,None,None,None,2.6141
ERN,Erin Energy,Energy,Oil & Gas E&P,842.0195,1069.4265,None,None,None,3.4602
EROS,Eros International,Consumer Cyclical,Media - Diversified,553.4382,778.5672,14.4956,7.0586,1.9012,0.7591
ESCA,Escalade,Consumer Cyclical,Leisure,169.7013,198.5233,14.2130,10.7310,1.0956,1.8068
ESE,ESCO Technologies,Technology,Scientific & Technical Instruments,1003.5027,1014.0917,19.7686,10.3479,1.7824,1.7178
ESGR,Enstar Group,Financial Services,Insurance - Diversified,3011.2647,2574.8897,14.2127,None,2.6978,1.2351
ESL,Esterline Technologies,Industrials,Aerospace & Defense,2638.1356,2446.7806,12.7484,6.7494,1.3034,1.7045
ESND,Essendant,Industrials,Business Equipment,1316.1738,1954.3118,11.2102,7.5354,0.2463,1.5808
ESNT,Essent Group,Financial Services,Specialty Finance,2219.9683,2079.6453,14.1440,9.6579,6.2924,2.0627
ESPR,Esperion Therapeutics,Healthcare,Biotechnology,590.6707,375.0747,None,None,None,1.9923
ESTE,Earthstone Energy,Energy,Oil & Gas E&P,195.2492,165.1132,None,5.4073,3.2991,0.6171
ETH,Ethan Allen Interiors,Consumer Cyclical,Home Furnishings & Fixtures,800.7262,789.5062,16.7032,8.3119,1.0377,2.1112
ETM,Entercom Communications,Consumer Cyclical,Broadcasting - Radio,453.1253,976.4643,16.7794,10.3946,1.1070,1.4215
ETSY,Etsy,Consumer Cyclical,Specialty Retail,949.5022,662.7452,None,None,None,2.9415
EVC,Entravision Comms,Consumer Cyclical,Broadcasting - TV,739.4560,1018.9480,28.9310,13.3222,2.9472,4.5940
EVDY,Everyday Health,Technology,Health Information Services,176.7211,253.5741,11.6170,5.3984,0.7811,1.0431
EVER,EverBank Financial,Financial Services,Banks - Regional - US,2144.2347,7268.1617,13.9060,22.2786,2.3691,1.2818
EVH,Evolent Health,Technology,Health Information Services,956.3916,1035.5976,None,None,None,1.4790
EVLV,EVINE Live,Consumer Cyclical,Specialty Retail,138.2435,183.0225,None,16.7385,0.2016,1.7145
EVR,Evercore Partners,Financial Services,Capital Markets,2006.0230,1969.8690,17.5350,6.1564,1.7694,4.1815
EVRI,Everi Holdings,Consumer Cyclical,Gambling,250.6358,1304.7048,5.1821,6.2642,0.3048,1.1274
EVTC,Evertec,Technology,Software - Infrastructure,1208.6014,1839.2124,9.4428,9.8521,3.2484,10.2205
EXAC,Exactech,Healthcare,Medical Devices,242.0025,245.9515,16.7430,5.8502,1.0048,1.0827
EXAM,ExamWorks Group,Financial Services,Insurance Brokers,1073.7564,1485.2564,365.5714,12.9983,1.3247,2.8644
EXAR,Exar,Technology,Semiconductors,284.1978,230.7138,36.6875,12.3740,1.8677,1.2977
EXAS,Exact Sciences,Healthcare,Diagnostics & Research,915.2110,575.4580,None,-3.6605,22.4564,2.5332
EXEL,Exelixis,Healthcare,Biotechnology,1238.3305,1418.4055,None,-8.7019,35.5107,None
EXLS,ExlService Holdings,Industrials,Business Services,1479.3051,1365.4651,26.6568,12.0007,2.3673,3.3064
EXPO,Exponent,Industrials,Business Services,1326.4803,1175.1863,33.2387,15.5122,4.4629,5.1656
EXPR,Express,Consumer Cyclical,Apparel Stores,1459.6257,1303.9807,12.5537,4.7349,0.6200,2.4419
EXTN,Exterran,Energy,Oil & Gas Equipment & Services,564.2439,542.0859,None,None,None,0.3779
EXTR,Extreme Networks,Technology,Communication Equipment,419.6548,402.8798,69.0000,4.9800,0.8026,4.2660
EXXI,Energy XXI,Energy,Oil & Gas E&P,150.0480,3671.8990,None,11.5523,0.1798,None
EYES,Second Sight Medical,Healthcare,Medical Devices,171.0112,149.3421,None,None,None,6.9789
EZPW,EZCorp,Financial Services,Credit Services,313.0228,608.5118,4.2140,3.6159,0.3086,0.3923
FAF,First American Financial,Financial Services,Insurance - Specialty,4152.9334,3846.4754,14.8253,None,0.8085,1.5438
FARM,Farmer Bros,Consumer Defensive,Packaged Foods,483.9433,438.4953,25.6066,10.3208,0.8741,5.3277
FARO,Faro Technologies,Technology,Scientific & Technical Instruments,515.3110,354.3520,45.5692,14.6306,1.6299,1.4890
FBC,Flagstar Bancorp,Financial Services,Savings & Cooperative Banks,1350.6379,3725.6379,10.7551,None,1.7748,1.0919
FBIZ,First Business Financial,Financial Services,Banks - Regional - US,224.2982,148.2962,13.3627,None,2.9946,1.5159
FBNC,First Bancorp,Financial Services,Banks - Regional - US,383.0434,380.1654,14.9302,None,2.6498,1.1524
FBNK,First Connecticut Bancorp,Financial Services,Banks - Regional - US,285.8094,611.9624,19.5652,None,3.6289,1.1752
FBP,First BanCorp,Financial Services,Banks - Regional - US,823.4940,449.3530,34.8182,None,1.4000,0.4946
FC,Franklin Covey,Consumer Defensive,Education & Training Services,240.9772,224.7432,21.4121,6.6144,1.0779,1.9200
FCB,FCB Financial Holdings,Financial Services,Banks - Regional - US,1569.4306,2634.5916,20.7588,None,6.6501,1.8337
FCBC,First Community,Financial Services,Banks - Regional - US,366.4882,412.5372,15.1504,None,3.0121,1.0628
FCEL,Fuelcell Energy,Utilities,Utilities - Independent Power Producers,242.2933,196.3213,None,-467.4316,0.9841,2.4577
FCF,First Commonwealth Finl,Financial Services,Banks - Regional - US,860.2558,2228.5048,15.9835,28.7512,3.4257,1.1902
FCFS,First Cash Financial,Financial Services,Credit Services,1074.7174,1270.6944,15.9447,9.3538,1.5104,2.4440
FCH,FelCor Lodging Trust,Real Estate,REIT - Hotel & Motel,1109.8254,2789.9734,9.1869,11.5559,1.2490,None
FCN,FTI Consulting,Industrials,Business Services,1556.8758,1971.9018,19.8800,8.8558,0.8833,1.3394
FCNCA,First Citizens BancShares,Financial Services,Banks - Regional - US,3167.5028,1718.1018,None,None,None,1.1065
FCS,Fairchild Semiconductor,Technology,Semiconductors,2228.2019,2183.1019,34.6256,8.6700,1.6135,2.0379
FCSC,Fibrocell Science,Healthcare,Drug Manufacturers - Specialty & Generic,238.8095,201.8785,None,-5.0470,508.1053,7.6136
FDEF,First Defiance Financial,Financial Services,Savings & Cooperative Banks,363.1472,405.7232,14.2410,None,3.3846,1.3037
FDML,Federal-Mogul Holdings,Consumer Cyclical,Auto Parts,1288.0901,4216.0901,8.8092,6.8166,0.1732,1.5154
FDP,Fresh Del Monte Produce,Consumer Defensive,Farm Products,2341.0150,2553.4150,16.2909,10.5513,0.6007,1.3050
FEIC,FEI,Technology,Scientific & Technical Instruments,3161.4218,2743.5488,23.0181,12.8203,3.4312,3.2087
FELE,Franklin Electric,Industrials,Diversified Industrials,1512.7268,1672.7468,22.2533,12.8712,1.6164,2.7413
FENX,Fenix Parts,Consumer Cyclical,Auto Parts,126.0386,133.1266,None,None,None,1.1313
FET,Forum Energy Technologies,Energy,Oil & Gas Equipment & Services,1281.1310,1608.2840,27.6218,10.8652,1.1757,0.8956
FF,FutureFuel,Basic Materials,Chemicals,620.2790,372.8450,26.2778,9.6342,1.5978,1.6962
FFBC,First Financial Bancorp,Financial Services,Banks - Regional - US,1224.2637,1908.4897,15.6996,None,3.7951,1.5058
FFG,FBL Financial Group,Financial Services,Insurance - Life,1671.7465,1721.8265,16.1969,None,2.3475,1.4359
FFIC,Flushing Financial,Financial Services,Savings & Cooperative Banks,645.7965,1731.8995,15.2901,24.1010,3.8057,1.3706
FFIN,First Financial,Financial Services,Banks - Regional - US,2325.6152,2684.4192,22.3568,20.3042,7.3946,2.9363
FFKT,Farmers Capital Bank,Financial Services,Banks - Regional - US,201.6105,146.2885,14.1526,None,2.6889,1.1615
FGEN,FibroGen,Healthcare,Biotechnology,1679.9711,1477.7191,None,None,8.5354,7.7317
FGL,Fidelity & Guaranty Life,Financial Services,Insurance - Life,1507.2658,1153.2658,11.3496,3.2578,1.3421,0.9668
FIBK,First Interstate BancSys,Financial Services,Banks - Regional - US,1355.3620,774.9060,15.3542,None,3.5963,1.4441
FICO,Fair Isaac,Technology,Software - Infrastructure,2845.9492,3367.8292,31.2560,16.8391,3.2618,6.5125
FINL,Finish Line,Consumer Cyclical,Specialty Retail,739.0637,638.8297,9.4403,3.7206,0.3881,1.2512
FISI,Financial Institutions,Financial Services,Banks - Regional - US,381.1300,627.5080,13.9896,None,3.1037,1.3705
FIVE,Five Below,Consumer Cyclical,Specialty Retail,1518.5630,1457.6470,26.7788,12.5130,1.8419,7.8912
FIVN,Five9,Technology,Software - Application,305.0460,283.3220,None,-34.9780,2.4239,11.4930
FIX,Comfort Systems USA,Industrials,Engineering & Construction,1167.6723,1152.2293,24.9440,10.3753,0.7340,3.4587
FIZZ,National Beverage,Consumer Defensive,Beverages - Soft Drinks,1695.2733,1634.2523,None,None,None,10.4215
FLDM,Fluidigm,Healthcare,Diagnostics & Research,282.1645,380.7205,None,-12.2366,2.5026,2.2732
FLIC,First of Long Island,Financial Services,Banks - Regional - US,436.6660,823.2640,16.9644,None,5.2490,1.7659
FLKS,Flex Pharma,Healthcare,Biotechnology,200.0745,100.9155,None,None,None,2.0416
FLTX,FleetMatics Group,Technology,Software - Application,2252.9081,2086.5511,64.8778,22.7665,7.9141,7.9270
FLWS,1-800 Flowers.com,Consumer Cyclical,Specialty Retail,496.1935,752.4725,18.0000,8.5918,0.4156,2.4706
FLXN,Flexion Therapeutics,Healthcare,Drug Manufacturers - Specialty & Generic,365.5236,233.3580,None,-4.1597,None,3.1591
FLXS,Flexsteel Industries,Consumer Cyclical,Home Furnishings & Fixtures,347.1640,352.1060,None,None,None,1.8093
FMBI,First Midwest Bancorp,Financial Services,Banks - Regional - US,1502.8625,926.3855,16.8635,None,3.3085,1.3095
FMER,Firstmerit,Financial Services,Banks - Regional - US,3429.6178,4008.2768,15.3452,10.0597,3.3330,1.2088
FMI,Foundation Medicine,Healthcare,Diagnostics & Research,564.3107,314.1487,None,-4.1806,6.1359,2.0635
FMSA,Fairmount Santrol,Basic Materials,Industrial Metals & Minerals,389.0540,1452.1780,32.1333,9.5648,0.4464,13.2833
FN,Fabrinet,Technology,Consumer Electronics,846.2940,637.7080,14.0774,8.0825,0.9613,1.7486
FNB,F N B,Financial Services,Banks - Regional - US,2520.1704,4198.2414,16.3295,18.6921,3.8018,1.2678
FNBC,First NBC Bank Holding,Financial Services,Banks - Regional - US,787.3342,532.4332,11.6146,None,6.2786,1.7548
FNFV,Fidelity National Finl,Financial Services,Insurance - Specialty,3812.3509,5793.3509,35.3770,45.6889,2.3650,0.6582
FNGN,Financial Engines,Financial Services,Asset Management,1813.8934,1486.6584,56.1991,15.6600,5.7832,4.5265
FNHC,Federated National Hldg,Financial Services,Insurance - Property & Casualty,399.4614,346.4154,9.7212,None,1.8847,1.7884
FNLC,First Bancorp,Financial Services,Banks - Regional - US,228.9963,506.8953,14.2953,None,4.3321,1.3701
FNSR,Finisar,Technology,Communication Equipment,1254.5702,982.6382,22.7792,4.9936,0.9881,1.1350
FOE,Ferro,Basic Materials,Specialty Chemicals,1003.1155,1368.1335,13.7738,8.8358,0.9264,3.2996
FOGO,Fogo de Chao,Consumer Cyclical,Restaurants,443.0399,588.0259,None,None,None,1.8677
FOLD,Amicus Therapeutics,Healthcare,Biotechnology,1336.4236,1099.9146,None,-9.1660,457.9930,3.5285
FOMX,Foamix Pharmaceuticals,Healthcare,Biotechnology,214.5031,169.9831,None,-9.4488,158.3049,2.0302
FOR,Forestar Group,Real Estate,Real Estate - General,448.1053,792.5923,205.0769,-11.6216,1.9461,0.8846
FORM,FormFactor,Technology,Semiconductors,504.2489,320.4099,51.0000,6.3763,1.7953,1.7179
FORR,Forrester Research,Industrials,Business Services,565.9698,461.8188,49.0769,11.6064,1.8086,4.3876
FOXF,Fox Factory Holding,Consumer Cyclical,Recreational Vehicles,659.2732,714.0452,18.1939,11.4684,1.8266,4.5598
FPO,First Potomac Realty,Real Estate,REIT - Office,664.4081,1580.5501,11.7545,16.4302,3.7922,1.2989
FPRX,Five Prime Therapeutics,Healthcare,Biotechnology,971.7093,788.2953,4.2652,None,2.6168,7.7344
FR,First Industrial Realty,Real Estate,REIT - Industrial,2477.3500,3922.5960,16.6320,17.7154,6.7644,2.3858
FRAN,Francescas Holdings,Consumer Cyclical,Apparel Stores,593.5227,544.6827,16.4670,7.2940,1.4047,4.7066
FRED,Fred's,Consumer Defensive,Discount Stores,544.4548,606.1608,114.5882,10.6251,0.2516,1.3292
FRGI,Fiesta Restaurant Group,Consumer Cyclical,Restaurants,965.3290,1033.1410,23.9340,10.4712,1.4014,4.1251
FRM,Furmanite,Industrials,Engineering & Construction,310.5343,332.3863,16.3400,7.0720,0.5373,2.1423
FRME,First Merchants,Financial Services,Banks - Regional - US,1030.9439,1279.0729,15.4221,None,4.0813,1.3444
FRO,Frontline,Industrials,Shipping & Ports,571.3226,524.8636,8.5536,4.1350,1.7952,2.6550
FRP,FairPoint Communications,Communication Services,Telecom Services,465.7325,1355.7335,5.7318,5.0780,0.5395,18.3338
FRPH,FRP Holdings,Real Estate,Real Estate Services,313.6382,362.7742,None,None,None,1.7420
FRPT,Freshpet,Consumer Defensive,Packaged Foods,228.8924,209.8925,None,20.2746,1.9687,2.2273
FRSH,Papa Murphys Holdings,Consumer Cyclical,Restaurants,203.5659,309.7389,27.4201,11.7099,1.6953,2.1497
FSAM,Fifth Street Asset Mgmt,Financial Services,Asset Management,219.5262,260.0892,5.9471,None,2.1601,25.4154
FSB,Franklin Finl Network,Financial Services,Banks - Regional - US,315.4552,334.5472,None,None,None,1.7761
FSP,Franklin Street Props,Real Estate,REIT - Office,1043.9527,1944.8527,9.7840,15.3386,4.3665,1.1174
FSS,Federal Signal,Industrials,Pollution & Treatment Controls,1040.9874,1021.3874,16.1058,8.5329,1.1825,2.6077
FSTR,LB Foster,Industrials,Railroads,126.2160,300.5040,6.2081,5.0509,0.1991,0.4490
FTD,FTD Companies,Consumer Cyclical,Specialty Retail,710.9366,1000.8376,14.3353,9.0521,0.5815,1.0914
FTK,Flotek Industries,Energy,Oil & Gas Equipment & Services,553.9710,599.0990,413.2000,35.4496,1.6234,1.8769
FUEL,Rocket Fuel,Consumer Cyclical,Advertising Agencies,134.6654,116.3494,None,-27.7022,0.2944,0.9639
FUL,H.B. Fuller,Basic Materials,Specialty Chemicals,2006.2605,2648.4085,17.8578,9.3247,0.9651,2.2199
FULT,Fulton Financial,Financial Services,Banks - Regional - US,2497.3448,3298.1358,17.2663,None,3.6511,1.2327
FVE,Five Star Quality Care,Healthcare,Long-Term Care Facilities,166.7221,199.8901,None,5.6546,0.1220,0.8753
FWM,Fairway Group Holdings,Consumer Defensive,Grocery Stores,44.5398,272.0668,None,7.0229,0.0586,None
FWRD,Forward Air,Industrials,Integrated Shipping & Logistics,1477.7826,1529.0666,22.4791,10.6029,1.5392,3.0015
FXCB,Fox Chase Bancorp,Financial Services,Savings & Cooperative Banks,208.6452,401.4342,20.9302,None,5.7557,1.1855
GABC,German American,Financial Services,Banks - Regional - US,447.6566,646.6306,15.2235,None,4.3976,1.8098
GALE,Galena Biopharma,Healthcare,Biotechnology,238.0030,203.1910,None,-3.9075,24.8619,7.3419
GB,Greatbatch,Healthcare,Medical Devices,1678.5180,1789.9240,19.6530,12.8126,2.1544,2.5989
GBCI,Glacier Bancorp,Financial Services,Banks - Regional - US,2208.7853,2429.8903,18.7496,None,5.4671,2.0551
GBL,GAMCO Investors,Financial Services,Asset Management,1525.3798,1082.2318,17.1776,None,None,2.7111
GBLI,Global Indemnity,Financial Services,Insurance - Property & Casualty,751.6668,897.1248,22.4692,None,None,0.8155
GBNK,Guaranty,Financial Services,Banks - Regional - US,373.2664,526.5904,16.1572,None,3.9721,1.7059
GBT,Global Blood Therapeutics,Healthcare,Biotechnology,1579.2006,1420.7036,None,None,None,10.2004
GBX,Greenbrier Companies,Industrials,Railroads,956.1226,1291.1606,5.6416,2.7016,0.3356,1.3047
GCAP,GAIN Capital Holdings,Financial Services,Capital Markets,391.0990,-661.0990,11.0833,-8.1072,0.8539,1.1784
GCO,Genesco,Consumer Cyclical,Apparel Stores,1290.1147,1357.6777,11.3177,5.2111,0.4293,1.2993
GDOT,Green Dot,Financial Services,Credit Services,857.8606,303.9276,15.8935,2.0279,1.2320,1.2914
GEF,Greif,Consumer Cyclical,Packaging & Containers,1578.6537,2750.3537,13.9048,6.4596,0.4371,1.5052
GEN,Genesis Healthcare,Healthcare,Long-Term Care Facilities,714.0196,1569.5886,13.0986,10.4262,0.1259,None
GEO,The GEO Group,Real Estate,REIT - Healthcare Facilities,2228.4697,4257.7077,9.4164,12.4074,1.1993,2.2167
GEOS,Geospace Technologies,Energy,Oil & Gas Equipment & Services,150.0175,104.8015,None,-27.4781,1.4678,0.4855
GERN,Geron,Healthcare,Biotechnology,653.4564,533.7764,None,-11.8617,23.5209,4.4184
GES,Guess?,Consumer Cyclical,Apparel Stores,1601.1224,1144.2294,19.4196,5.6739,0.7270,1.5300
GFF,Griffon,Basic Materials,Building Materials,829.7830,1621.3510,19.1444,7.6479,0.3678,1.9274
GHDX,Genomic Health,Healthcare,Diagnostics & Research,933.6415,835.6285,None,-38.4657,3.1935,7.0448
GHL,Greenhill & Co,Financial Services,Capital Markets,780.3489,829.0269,30.5862,None,2.6552,2.8313
GHM,Graham,Industrials,Metal Fabrication,178.1973,115.7813,26.5333,9.7295,1.8295,1.5262
GI,EndoChoice Holdings,Healthcare,Medical Devices,225.3893,194.4493,None,None,None,2.0464
GIII,G-III Apparel Group,Consumer Cyclical,Apparel Manufacturing,2070.1716,2056.8646,16.1698,8.6362,0.8637,2.6366
GIMO,Gigamon,Technology,Communication Equipment,929.8377,743.6007,151.8333,15.6219,4.2666,6.4325
GK,G & K Services,Industrials,Business Services,1343.2615,1581.8195,18.8573,9.9687,1.3604,3.4479
GKOS,Glaukos,Healthcare,Medical Instruments & Supplies,831.7447,750.2647,None,None,None,8.7765
GLBL,TerraForm Global,Utilities,Utilities - Independent Power Producers,938.3414,1627.6114,None,None,None,1.0753
GLDD,Great Lakes Dredge & Dock,Industrials,Engineering & Construction,259.3159,613.2739,None,7.0735,0.2992,1.0287
GLF,GulfMark Offshore,Energy,Oil & Gas Equipment & Services,147.7034,640.1694,None,12.3157,0.5342,0.2025
GLOB,Globant,Technology,Information Technology Services,1256.5550,1183.8560,38.3896,33.8728,5.0112,8.0428
GLOG,GasLog,Industrials,Shipping & Ports,928.1246,3468.8676,141.6462,13.2103,2.2276,0.9246
GLRE,Greenlight Capital Re,Financial Services,Insurance - Specialty,758.3232,683.2352,4.6022,None,None,0.8743
GLT,PH Glatfelter,Basic Materials,Paper & Paper Products,765.2566,1080.7066,13.7198,6.9521,0.4594,1.1844
GLUU,Glu Mobile,Technology,Electronic Gaming & Multimedia,431.8441,249.4951,None,17.6249,1.7348,1.4085
GMED,Globus Medical,Healthcare,Medical Devices,2517.0663,2278.4643,24.6250,12.0490,4.6589,3.7350
