Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value
AGRX,Agile Therapeutics,Healthcare,Drug Manufacturers - Specialty & Generic,177.7803,138.3760,None,-4.3337,None,5.4291
AGTC,Applied Genetic Tech,Healthcare,Biotechnology,299.4032,133.4492,None,None,7.6770,3.0746
AGX,Argan,Industrials,Engineering & Construction,586.2664,284.4214,14.9547,None,None,2.7888
AGYS,Agilysys,Technology,Software - Application,252.8098,190.7088,None,None,None,2.0227
AHH,Armada Hoffler Properties,Real Estate,REIT - Diversified,306.0443,886.5553,12.7163,18.0405,3.8063,30.3254
AHP,Ashford Hospitality Prime,Real Estate,REIT - Hotel & Motel,402.0105,1072.0635,8.7338,11.4503,1.1606,1.1451
AHS,AMN Healthcare Services,Healthcare,Medical Care,1417.4657,1617.3077,18.8101,10.0977,0.9794,4.3754
AHT,Ashford Hospitality Trust,Real Estate,REIT - Hotel & Motel,611.0349,4124.3889,4.5497,10.0933,0.4777,0.7085
AI,Arlington Asset Investmnt,Financial Services,Specialty Finance,311.0772,594.0902,2.2821,None,2.2880,0.6508
AIMC,Altra Industrial Motion,Industrials,Diversified Industrials,710.4068,900.6598,16.4846,8.5987,0.9472,2.8637
AIMT,Aimmune Therapeutics,Healthcare,Biotechnology,884.2799,667.6729,None,None,None,4.0399
AIN,Albany International,Consumer Cyclical,Textile Manufacturing,1171.8400,1274.3500,23.0314,9.4906,1.6357,2.4724
AINC,Ashford,Financial Services,Asset Management,135.1792,95.6822,None,None,None,5.1811
AIQ,Alliance HealthCare,Healthcare,Diagnostics & Research,91.2726,688.8746,None,None,None,None
AIR,AAR,Industrials,Aerospace & Defense,825.9351,976.7351,17.1868,6.9519,0.5092,0.9638
AIRM,Air Methods,Industrials,Airports & Air Services,1702.1999,2282.4529,14.9991,7.8886,1.5747,3.0254
AIT,Applied Industrial,Industrials,Industrial Distribution,1627.3802,1918.7292,15.7141,9.0463,0.6350,2.2917
AJRD,Aerojet Rocketdyne,Industrials,Aerospace & Defense,1040.0400,1457.9400,95.2941,6.0735,0.6189,None
AJX,Great Ajax,Real Estate,REIT - Diversified,197.4836,507.4426,None,None,None,0.8845
AKBA,Akebia Therapeutics,Healthcare,Biotechnology,291.0012,133.5352,None,11.4133,None,2.0012
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,2314.2942,3985.0992,21.8436,42.7127,17.5325,2.1268
AKS,AK Steel Holding,Basic Materials,Steel,419.7272,3109.4272,None,9.2814,0.0622,None
ALCO,Alico,Consumer Defensive,Farm Products,336.8874,541.9144,None,None,None,1.8864
ALDR,Alder BioPharmaceuticals,Healthcare,Biotechnology,1549.9527,1243.7697,None,None,1549.9527,3.7651
ALE,ALLETE,Utilities,Utilities - Regulated Electric,2536.4181,4033.2181,15.1462,9.8878,1.8612,1.3923
ALEX,Alexander & Baldwin,Real Estate,Real Estate - General,1807.4049,2401.3049,44.5542,15.3340,2.8740,1.4550
ALG,Alamo Group,Industrials,Farm & Construction Equipment,627.4171,760.2071,14.1183,None,0.7125,1.7719
